date_mutation,valeur_fonciere,code_postal,type_local,surface_m2,nb_pieces,surface_terrain,arrondissement,prix_m2
09/01/2024,395000.0,75010,Appartement,43.0,2.0,,10,9186.0
18/01/2024,273500.0,75020,Appartement,29.0,2.0,,20,9431.0
16/01/2024,110000.0,75009,Appartement,13.0,1.0,,9,8462.0
02/01/2024,590000.0,75018,Appartement,60.0,3.0,,18,9833.0
12/01/2024,290000.0,75018,Appartement,64.0,3.0,,18,4531.0
18/01/2024,410000.0,75018,Appartement,42.0,2.0,,18,9762.0
17/01/2024,333600.0,75018,Appartement,38.0,2.0,,18,8779.0
17/01/2024,286320.0,75018,Appartement,27.0,1.0,,18,10604.0
16/01/2024,411600.0,75018,Appartement,53.0,2.0,,18,7766.0
15/01/2024,2200000.0,75009,Appartement,197.0,6.0,,9,11168.0
15/01/2024,398000.0,75019,Appartement,38.0,2.0,,19,10474.0
08/01/2024,298000.0,75018,Appartement,41.0,3.0,,18,7268.0
15/01/2024,622100.0,75020,Appartement,73.0,3.0,,20,8522.0
12/01/2024,250000.0,75019,Appartement,28.0,2.0,,19,8929.0
12/01/2024,250000.0,75019,Appartement,25.0,2.0,,19,10000.0
05/01/2024,210000.0,75018,Appartement,30.0,2.0,,18,7000.0
08/01/2024,232692.5,75018,Appartement,21.0,1.0,,18,11081.0
11/01/2024,500000.0,75018,Appartement,48.0,3.0,,18,10417.0
10/01/2024,278000.0,75018,Appartement,21.0,2.0,,18,13238.0
18/01/2024,315000.0,75017,Appartement,27.0,1.0,,17,11667.0
05/01/2024,275000.0,75019,Appartement,33.0,1.0,,19,8333.0
22/01/2024,22000.0,75010,Local industriel. commercial ou assimilé,11.0,0.0,,10,2000.0
16/01/2024,165000.0,75018,Appartement,17.0,1.0,,18,9706.0
05/01/2024,215000.0,75018,Appartement,40.0,2.0,,18,5375.0
22/01/2024,901350.0,75017,Appartement,73.0,3.0,,17,12347.0
03/01/2024,410570.0,75018,Appartement,40.0,3.0,,18,10264.0
03/01/2024,418500.0,75017,Appartement,35.0,1.0,,17,11957.0
10/01/2024,820000.0,75004,Appartement,55.0,2.0,,4,14909.0
09/01/2024,160000.0,75019,Appartement,66.0,3.0,,19,2424.0
15/01/2024,150000.0,75009,Appartement,15.0,1.0,,9,10000.0
03/01/2024,674800.0,75018,Appartement,62.0,3.0,,18,10884.0
05/01/2024,222000.0,75009,Local industriel. commercial ou assimilé,24.0,0.0,,9,9250.0
09/01/2024,445850.0,75020,Appartement,68.0,3.0,,20,6557.0
05/01/2024,700000.0,75004,Appartement,55.0,2.0,,4,12727.0
05/01/2024,1350000.0,75020,Local industriel. commercial ou assimilé,135.0,0.0,124.0,20,10000.0
15/01/2024,335000.0,75019,Appartement,37.0,1.0,,19,9054.0
22/01/2024,282000.0,75004,Appartement,21.0,1.0,,4,13429.0
15/01/2024,235000.0,75020,Appartement,27.0,1.0,,20,8704.0
12/01/2024,285425.0,75018,Appartement,25.0,2.0,,18,11417.0
04/01/2024,539000.0,75017,Appartement,59.0,3.0,,17,9136.0
17/01/2024,175000.0,75018,Appartement,24.0,2.0,,18,7292.0
16/01/2024,5150000.0,75008,Appartement,202.0,5.0,,8,25495.0
15/01/2024,475000.0,75020,Appartement,57.0,3.0,,20,8333.0
22/01/2024,495000.0,75010,Appartement,50.0,3.0,,10,9900.0
22/01/2024,125000.0,75018,Appartement,9.0,1.0,,18,13889.0
16/01/2024,240000.0,75010,Appartement,26.0,1.0,,10,9231.0
16/01/2024,406000.0,75002,Appartement,41.0,2.0,,2,9902.0
19/01/2024,307162.0,75020,Appartement,38.0,2.0,,20,8083.0
16/01/2024,490000.0,75020,Appartement,80.0,4.0,,20,6125.0
09/01/2024,218300.0,75018,Appartement,20.0,2.0,,18,10915.0
10/01/2024,235000.0,75018,Appartement,34.0,2.0,,18,6912.0
17/01/2024,995000.0,75001,Appartement,129.0,4.0,,1,7713.0
10/01/2024,1100000.0,75004,Appartement,65.0,3.0,,4,16923.0
04/01/2024,780000.0,75002,Appartement,75.0,4.0,,2,10400.0
11/01/2024,635000.0,75020,Appartement,64.0,3.0,,20,9922.0
09/01/2024,136500.0,75017,Appartement,13.0,1.0,,17,10500.0
18/01/2024,262500.0,75018,Appartement,34.0,2.0,,18,7721.0
16/01/2024,1244000.0,75017,Appartement,113.0,3.0,,17,11009.0
17/01/2024,420000.0,75017,Appartement,42.0,3.0,,17,10000.0
17/01/2024,1465300.0,75008,Appartement,82.0,3.0,,8,17870.0
15/01/2024,800000.0,75018,Appartement,55.0,2.0,,18,14545.0
18/01/2024,451200.0,75020,Appartement,108.0,5.0,,20,4178.0
23/01/2024,698400.0,75009,Appartement,80.0,3.0,,9,8730.0
18/01/2024,278400.0,75020,Local industriel. commercial ou assimilé,51.0,0.0,,20,5459.0
18/01/2024,278400.0,75020,Appartement,108.0,5.0,,20,2578.0
16/01/2024,316800.0,75003,Appartement,32.0,2.0,,3,9900.0
15/01/2024,352500.0,75010,Appartement,39.0,2.0,,10,9038.0
05/01/2024,1896800.0,75009,Appartement,103.0,4.0,,9,18416.0
11/01/2024,215000.0,75019,Appartement,29.0,2.0,,19,7414.0
05/01/2024,225200.0,75020,Appartement,35.0,2.0,,20,6434.0
18/01/2024,207000.0,75017,Appartement,20.0,1.0,,17,10350.0
19/01/2024,522000.0,75018,Appartement,30.0,2.0,,18,17400.0
19/01/2024,522000.0,75018,Appartement,11.0,1.0,,18,47455.0
08/01/2024,236750.0,75018,Appartement,24.0,2.0,,18,9865.0
10/01/2024,120000.0,75018,Appartement,19.0,1.0,,18,6316.0
10/01/2024,120000.0,75018,Appartement,19.0,1.0,,18,6316.0
15/01/2024,550000.0,75003,Appartement,33.0,2.0,,3,16667.0
15/01/2024,550000.0,75003,Appartement,51.0,3.0,,3,10784.0
10/01/2024,640000.0,75008,Appartement,50.0,2.0,,8,12800.0
22/01/2024,40000.0,75008,Local industriel. commercial ou assimilé,15.0,0.0,,8,2667.0
17/01/2024,418000.0,75008,Appartement,29.0,2.0,,8,14414.0
18/01/2024,1677570.0,75008,Appartement,151.0,5.0,,8,11110.0
16/01/2024,550000.0,75001,Appartement,59.0,2.0,,1,9322.0
24/01/2024,150000.0,75018,Appartement,17.0,1.0,,18,8824.0
11/01/2024,555000.0,75009,Local industriel. commercial ou assimilé,78.0,0.0,,9,7115.0
11/01/2024,555000.0,75018,Local industriel. commercial ou assimilé,42.0,0.0,,18,13214.0
10/01/2024,740000.0,75004,Appartement,54.0,3.0,,4,13704.0
17/01/2024,97000.0,75009,Appartement,9.0,1.0,,9,10778.0
11/01/2024,1240000.0,75018,Appartement,56.0,3.0,,18,22143.0
11/01/2024,1240000.0,75018,Appartement,50.0,2.0,,18,24800.0
22/01/2024,225000.0,75019,Appartement,36.0,2.0,,19,6250.0
18/01/2024,131000.0,75020,Appartement,14.0,1.0,,20,9357.0
09/01/2024,750000.0,75004,Appartement,60.0,2.0,,4,12500.0
11/01/2024,1223000.0,75018,Appartement,106.0,5.0,,18,11538.0
08/01/2024,439033.0,75020,Appartement,43.0,3.0,,20,10210.0
11/01/2024,3800000.0,75018,Local industriel. commercial ou assimilé,570.0,0.0,,18,6667.0
15/01/2024,251500.0,75003,Appartement,20.0,1.0,,3,12575.0
05/01/2024,645000.0,75017,Appartement,40.0,2.0,,17,16125.0
04/01/2024,587980.0,75017,Appartement,59.0,2.0,,17,9966.0
17/01/2024,329233.6,75017,Appartement,50.0,3.0,,17,6585.0
22/01/2024,340000.0,75018,Appartement,34.0,2.0,,18,10000.0
22/01/2024,200000.0,75019,Appartement,32.0,2.0,,19,6250.0
11/01/2024,164100.0,75019,Appartement,17.0,2.0,,19,9653.0
17/01/2024,622500.0,75009,Appartement,50.0,2.0,,9,12450.0
19/01/2024,2865000.0,75002,Appartement,107.0,5.0,69.0,2,26776.0
17/01/2024,250000.0,75019,Appartement,30.0,1.0,,19,8333.0
08/01/2024,317900.0,75019,Appartement,38.0,2.0,,19,8366.0
10/01/2024,470000.0,75010,Appartement,40.0,2.0,,10,11750.0
17/01/2024,1070000.0,75003,Appartement,103.0,4.0,,3,10388.0
23/01/2024,88130.0,75017,Appartement,12.0,1.0,,17,7344.0
16/01/2024,1930000.0,75017,Appartement,190.0,6.0,,17,10158.0
24/01/2024,65000.0,75009,Appartement,14.0,1.0,,9,4643.0
18/01/2024,196000.0,75020,Appartement,25.0,1.0,,20,7840.0
15/01/2024,480000.0,75003,Appartement,35.0,1.0,,3,13714.0
19/01/2024,1690000.0,75001,Appartement,85.0,5.0,,1,19882.0
08/01/2024,399257.66,75018,Appartement,27.0,1.0,152.0,18,14787.0
08/01/2024,399257.66,75018,Appartement,8.0,1.0,152.0,18,49907.0
08/01/2024,399257.66,75018,Appartement,41.0,2.0,152.0,18,9738.0
08/01/2024,399257.66,75018,Appartement,24.0,1.0,152.0,18,16636.0
08/01/2024,399257.66,75018,Appartement,24.0,1.0,152.0,18,16636.0
08/01/2024,399257.66,75018,Appartement,29.0,2.0,152.0,18,13768.0
08/01/2024,399257.66,75018,Appartement,8.0,1.0,152.0,18,49907.0
08/01/2024,399257.66,75018,Appartement,8.0,1.0,152.0,18,49907.0
08/01/2024,399257.66,75018,Appartement,21.0,1.0,152.0,18,19012.0
08/01/2024,399257.66,75018,Appartement,21.0,1.0,152.0,18,19012.0
08/01/2024,399257.66,75018,Appartement,24.0,1.0,152.0,18,16636.0
08/01/2024,399257.66,75018,Appartement,40.0,3.0,152.0,18,9981.0
08/01/2024,399257.66,75018,Appartement,28.0,1.0,152.0,18,14259.0
08/01/2024,399257.66,75018,Appartement,21.0,1.0,152.0,18,19012.0
08/01/2024,399257.66,75018,Appartement,10.0,1.0,152.0,18,39926.0
08/01/2024,399257.66,75018,Appartement,25.0,1.0,152.0,18,15970.0
08/01/2024,399257.66,75018,Appartement,29.0,1.0,152.0,18,13768.0
